REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,247V,1,24,21,26,6,4,0,0,9,0,3,1,4,6,21,4,17,6,10,6,5,2,2,2,2,0,91,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,248V-252V,2,36,40,54,13,7,0,3,17,3,0,2,13,14,37,9,26,9,28,7,15,2,8,1,0,1,172,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,255V,3,16,19,25,7,6,0,0,10,0,0,3,6,6,13,5,18,0,13,1,11,1,7,0,2,0,86,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,260V,1,41,36,46,7,10,0,1,14,1,0,1,7,7,37,10,29,10,22,7,8,6,5,6,0,1,156,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,263V,1,44,20,18,2,6,0,1,6,1,0,0,16,17,9,10,10,13,7,4,6,4,1,0,1,0,98,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,266,0,22,11,18,5,5,0,0,7,0,0,0,10,6,7,13,6,8,1,4,5,3,3,1,1,0,68,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,10M-43M,2,28,25,57,6,12,0,0,19,0,2,0,5,9,4,4,14,5,3,23,17,23,4,25,1,11,149,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,12M-26M,1,21,27,65,11,10,1,1,10,2,2,1,7,9,5,3,15,4,7,20,13,28,0,24,0,9,147,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,13M-51M,3,29,20,45,10,14,1,1,18,2,2,7,3,4,3,5,17,8,4,19,11,20,3,20,0,15,141,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,14M,2,30,37,64,7,15,1,3,11,4,1,2,26,30,23,17,2,5,3,4,12,18,0,18,0,9,170,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15M-73M,1,29,23,46,17,15,0,9,17,9,3,4,4,5,6,3,18,5,4,25,15,35,2,25,0,3,157,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,16M-86M,0,32,16,63,6,18,1,0,9,1,3,1,7,7,13,5,2,2,6,23,7,39,0,21,0,9,145,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,1M-17M,1,26,18,53,7,11,0,0,16,0,3,3,13,4,5,2,4,2,4,9,9,23,1,32,0,17,132,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,2M-11M,1,20,20,40,16,16,0,0,21,0,1,4,4,14,1,4,2,7,5,10,20,16,2,22,9,13,134,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
