,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,NULO BLANCO,SEBASTIAN SICHEL,YASNA PROVOSTE
18-29,0.019883250622139196,0.2282900822795347,0.23684603582530608,0.3548048195615807,0.03848884756722603,0.014542615661793636,0.06425070850312456,0.042893639979295226
30-39,0.007261758164512018,0.18987272235747069,0.14468213627844093,0.47350502691671653,0.023476587717393162,0.008871776280371545,0.045993960246264266,0.10633603203883092
40-49,0.007150268513026537,0.08503353629675456,0.1258995498173435,0.5544829592516526,0.05813905726941249,0.00544371691423432,0.05058445890021193,0.11326645303736374
50+,0.013393566339801936,0.04110500399367671,0.10147428092181845,0.5333444981259272,0.04969017673951157,0.026580341342251557,0.08917060211212681,0.14524153042488563
