,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,NULO BLANCO,SEBASTIAN SICHEL,YASNA PROVOSTE
18-29,0.00679838755841565,0.2723754421812683,0.24035588828028118,0.2840637228343663,0.04774740678217012,0.005022726569118927,0.0864648295154289,0.05717159627895036
30-49,0.004508963447726435,0.18425886288482768,0.12599186069431512,0.44805282197370894,0.04454301931723722,0.010039323232172152,0.08595905461138789,0.09664609383862463
50+,0.008917120099597343,0.034784674645109,0.11970500901055617,0.4513309053643543,0.05707561564982748,0.02482678402840408,0.11166611809098043,0.19169377311117108
