REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,7M,3,38,30,22,8,6,1,1,50,2,0,1,3,3,28,3,1,5,4,40,2,48,1,13,1,6,159,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,8M,4,41,28,32,11,9,0,1,39,1,2,1,3,3,44,2,4,4,3,43,1,41,2,8,0,4,165,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,9M,4,46,27,24,9,7,0,1,37,1,1,1,3,3,37,3,2,25,2,35,0,25,1,11,1,6,155,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,10V,4,54,50,28,7,8,1,0,34,1,1,3,6,73,6,5,23,3,22,2,26,4,9,0,4,0,186,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,11V,2,53,33,22,7,7,1,0,38,1,2,2,6,36,6,13,21,9,33,1,21,3,8,0,2,0,163,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,12V,3,38,32,34,10,9,2,0,48,2,3,1,9,11,13,12,20,4,37,10,26,13,9,3,2,0,176,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,13V,3,35,31,24,11,15,0,2,38,2,2,2,12,13,11,16,25,13,26,7,11,7,7,1,6,0,159,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,14V,2,44,32,31,10,10,0,1,32,1,2,0,32,27,1,5,24,5,21,1,25,2,12,2,2,1,162,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,15V,3,49,30,34,7,10,1,0,23,1,0,1,17,19,7,8,29,5,28,5,21,5,8,1,4,0,157,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA MANUEL ORELLA ECHANEZ,16V,1,35,41,36,8,13,1,2,31,3,1,2,10,16,2,7,35,7,34,3,27,3,17,2,2,0,168,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
