REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,20+,P_EDUARDO ARTES_18-19,P_FRANCO ALDO PARISI_18-19,P_GABRIEL BORIC_18-19,P_JOSE ANTONIO KAST_18-19,P_MARCO ENRIQUEZ-OMINAMI_18-19,P_NULO BLANCO_18-19,P_SEBASTIAN SICHEL_18-19,P_YASNA PROVOSTE_18-19,P_EDUARDO ARTES_20+,P_FRANCO ALDO PARISI_20+,P_GABRIEL BORIC_20+,P_JOSE ANTONIO KAST_20+,P_MARCO ENRIQUEZ-OMINAMI_20+,P_NULO BLANCO_20+,P_SEBASTIAN SICHEL_20+,P_YASNA PROVOSTE_20+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,28,3,32,50,41,8,13,0,1,25,1,37,43,27,22,18,17,9,0,173,30,-1,-1,4,36,42,43,10,2,16,20,136,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,-4.0,8.0,-2.0,-2.0,-1.0,-3.0,5.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,29,1,23,26,40,11,8,0,3,19,3,0,4,38,34,36,13,6,0,131,30,-1,-1,2,26,28,35,8,2,11,19,131,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,-3.0,-2.0,5.0,3.0,1.0,-3.0,0.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,3,3,25,36,53,8,11,0,3,19,3,5,33,36,27,22,26,6,3,158,30,-1,-1,2,32,34,42,10,2,14,22,153,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,1.0,-7.0,2.0,11.0,-2.0,1.0,-3.0,-3.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,30,2,35,36,51,9,17,1,1,22,2,5,63,39,22,24,14,8,0,174,30,-1,-1,3,35,38,46,11,2,15,24,170,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,0.0,-2.0,5.0,-2.0,0.0,2.0,-2.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,4,3,23,40,35,10,14,0,1,15,1,4,29,33,23,21,18,13,0,141,30,-1,-1,2,28,31,38,8,2,12,20,137,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,1.0,-5.0,9.0,-3.0,2.0,-1.0,2.0,-5.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,5,2,36,24,31,4,8,0,4,16,4,2,23,31,21,30,12,4,2,125,30,-1,-1,2,25,27,33,7,2,11,18,123,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,0.0,11.0,-3.0,-2.0,-3.0,2.0,-3.0,-2.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,6,1,41,31,46,7,12,0,1,21,1,2,42,35,28,20,22,7,4,160,30,-1,-1,2,32,34,43,10,2,14,23,158,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-1.0,9.0,-3.0,3.0,-3.0,-1.0,-2.0,-2.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,7,2,35,23,38,12,14,1,3,20,4,1,32,29,28,26,23,7,2,148,30,-1,-1,2,29,32,40,9,2,13,21,147,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,0.0,6.0,-9.0,-2.0,3.0,2.0,1.0,-1.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,8,3,25,31,30,13,16,1,2,23,3,1,25,34,27,29,18,7,3,144,30,-1,-1,2,28,31,39,9,2,12,21,143,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,1.0,-3.0,0.0,-9.0,4.0,1.0,4.0,2.0
DE LOS LAGOS,RAHUE SUR,LICEO RAHUE,9,1,38,31,48,5,9,0,1,18,1,6,27,36,29,28,16,7,2,151,30,-1,-1,3,30,33,40,9,2,13,21,145,0.052858079549365763,0.2532851569386789,0.32951820118131747,0.16760140355329292,0.05150955895665885,0.010437013034847351,0.11312093967877224,0.02166964710706656,0.013739867129530509,0.19804763439716833,0.21482164076165275,0.2696212727497701,0.06072202466498365,0.01382524601626297,0.0853979299961982,0.14382438428443353,-2.0,8.0,-2.0,8.0,-4.0,-1.0,-4.0,-3.0
