circ,M,A,comb name,log_likelihood,under_threshold,obj_func,log_obj_func,obj_func_prop,log_obj_func_prop,p_std_max,combination
LOS ANDES,162,8,"18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+",-660.2533717737097,False,147.84984894320831,21.99388977006805,0.8488815622373127,-19.19738378504372,0.10538646993432056,"[[0], [1], [2], [3], [4], [5], [6], [7]]"
LOS ANDES,162,7,"18-19,20-29,30-39,40-49,50-59,60-69,70+",-672.2539491491043,False,147.1139218078689,20.809458640814874,0.8446828911304759,-15.319946631319455,0.07122497667067217,"[[0], [1], [2], [3], [4], [5], [6, 7]]"
LOS ANDES,162,7,"18-19,20-29,30-39,40-49,50-59,60-79,80+",-661.8218409547408,False,146.35526368456098,19.997941137747794,0.8398299171977026,-16.085713699742612,0.12204402486058141,"[[0], [1], [2], [3], [4], [5, 6], [7]]"
LOS ANDES,162,7,"18-19,20-29,30-39,40-49,50-69,70-79,80+",-667.6818670335269,False,144.75308263234615,19.82028945009486,0.8315904268733445,-16.18276087473093,0.11598392949715525,"[[0], [1], [2], [3], [4, 5], [6], [7]]"
LOS ANDES,162,7,"18-19,20-29,30-39,40-59,60-69,70-79,80+",-669.6653093436544,False,139.04534813483187,19.504135977619388,0.7950788572849345,-16.48587613824814,0.11551480649513186,"[[0], [1], [2], [3, 4], [5], [6], [7]]"
LOS ANDES,162,7,"18-19,20-29,30-49,50-59,60-69,70-79,80+",-680.6644406135092,False,133.79599294818718,19.119079741615344,0.7653803439782968,-16.867947200458605,0.11058414373324997,"[[0], [1], [2, 3], [4], [5], [6], [7]]"
LOS ANDES,162,7,"18-19,20-39,40-49,50-59,60-69,70-79,80+",-688.2085918452067,False,123.2922986151301,18.736044638931585,0.706272220374942,-17.304965921134098,0.10715589717228079,"[[0], [1, 2], [3], [4], [5], [6], [7]]"
LOS ANDES,162,7,"18-29,30-39,40-49,50-59,60-69,70-79,80+",-667.5257395666849,False,137.77855318913026,19.60537567993307,0.7882817582652945,-16.46993546528517,0.12317049683930295,"[[0, 1], [2], [3], [4], [5], [6], [7]]"
LOS ANDES,162,6,"18-19,20-29,30-39,40-49,50-59,60+",-673.7150617830121,False,145.4826018492592,18.682357962213512,0.8347550779323641,-12.3423747013928,0.08049013543275896,"[[0], [1], [2], [3], [4], [5, 6, 7]]"
LOS ANDES,162,6,"18-19,20-29,30-39,40-49,50-69,70+",-679.0262349501427,False,144.01715549700674,18.635858320841688,0.8273917557665078,-12.305323721006669,0.08684940670922783,"[[0], [1], [2], [3], [4, 5], [6, 7]]"
LOS ANDES,162,6,"18-19,20-29,30-39,40-49,50-79,80+",-677.3785510858797,False,142.03648218339617,17.599521489159578,0.8158031749767318,-13.288511324838334,0.12317394269145264,"[[0], [1], [2], [3], [4, 5, 6], [7]]"
LOS ANDES,162,6,"18-19,20-29,30-39,40-59,60-69,70+",-682.3098703475989,False,138.30942099949246,18.31970484836621,0.7908801861780979,-12.608438984523877,0.08066886476666416,"[[0], [1], [2], [3, 4], [5], [6, 7]]"
LOS ANDES,162,6,"18-19,20-29,30-39,40-59,60-79,80+",-671.2929803749503,False,137.55076287618454,17.50818734529913,0.7860272122453246,-13.374206052947034,0.13711413554633847,"[[0], [1], [2], [3, 4], [5, 6], [7]]"
LOS ANDES,162,6,"18-19,20-29,30-39,40-69,70-79,80+",-672.3363392745523,False,130.60008017625717,16.95354944495429,0.7453835733487083,-13.85831457475478,0.13254272624535718,"[[0], [1], [2], [3, 4, 5], [6], [7]]"
LOS ANDES,162,6,"18-19,20-29,30-49,50-59,60-69,70+",-692.3249031541854,False,133.06006581284777,17.934648612362167,0.7611816728714601,-12.990510046734341,0.10043374496690226,"[[0], [1], [2, 3], [4], [5], [6, 7]]"
LOS ANDES,162,6,"18-19,20-29,30-49,50-59,60-79,80+",-682.0783305242876,False,132.30140768953984,17.123131109295088,0.7563286989386868,-13.756277115157499,0.10254556026272629,"[[0], [1], [2, 3], [4], [5, 6], [7]]"
LOS ANDES,162,6,"18-19,20-29,30-49,50-69,70-79,80+",-687.9482281753444,False,130.69922663732504,16.94547942164216,0.7480892086143287,-13.85332429014582,0.1045586491498075,"[[0], [1], [2, 3], [4, 5], [6], [7]]"
LOS ANDES,162,6,"18-19,20-29,30-59,60-69,70-79,80+",-695.3953393827614,False,121.07340154717365,16.44165870480733,0.6830522377371752,-14.378415871823911,0.10918718729193448,"[[0], [1], [2, 3, 4], [5], [6], [7]]"
LOS ANDES,162,6,"18-19,20-39,40-49,50-59,60-69,70+",-698.806641907111,False,122.55637147979068,17.551613509678408,0.7020735492681053,-13.427528767409834,0.08790339172215408,"[[0], [1, 2], [3], [4], [5], [6, 7]]"
LOS ANDES,162,6,"18-19,20-39,40-49,50-59,60-79,80+",-690.075638811104,False,121.79771335648276,16.74009600661133,0.697220575335332,-14.193295835832993,0.1315274904167126,"[[0], [1, 2], [3], [4], [5, 6], [7]]"
LOS ANDES,162,6,"18-19,20-39,40-49,50-69,70-79,80+",-695.4043671542167,False,120.19553230426796,16.5624443189584,0.6889810850109738,-14.290343010821314,0.14243031448651808,"[[0], [1, 2], [3], [4, 5], [6], [7]]"
LOS ANDES,162,6,"18-19,20-39,40-59,60-69,70-79,80+",-697.5112996560492,False,114.48779780675368,16.246290846482925,0.6524695154225638,-14.59345827433852,0.1400739073813865,"[[0], [1, 2], [3, 4], [5], [6], [7]]"
LOS ANDES,162,6,"18-19,20-49,50-59,60-69,70-79,80+",-735.8694977892665,False,102.3068243811892,15.64823123030489,0.5828146969596271,-15.18199429203244,0.1143974428417973,"[[0], [1, 2, 3], [4], [5], [6], [7]]"
LOS ANDES,162,6,"18-29,30-39,40-49,50-59,60-69,70+",-679.6795256715268,False,137.04262605379085,18.42094455067989,0.7840830871584578,-12.592498311560908,0.051990100741957826,"[[0, 1], [2], [3], [4], [5], [6, 7]]"
LOS ANDES,162,6,"18-29,30-39,40-49,50-59,60-79,80+",-669.0852803973321,False,136.28396793048293,17.609427047612815,0.7792301132256845,-13.358265379984065,0.12545255040499442,"[[0, 1], [2], [3], [4], [5, 6], [7]]"
LOS ANDES,162,6,"18-29,30-39,40-49,50-69,70-79,80+",-675.2119467770972,False,134.68178687826813,17.431775359959882,0.7709906229013264,-13.455312554972386,0.09572999135763997,"[[0, 1], [2], [3], [4, 5], [6], [7]]"
LOS ANDES,162,6,"18-29,30-39,40-59,60-69,70-79,80+",-677.4971345973972,False,128.97405238075385,17.11562188748441,0.7344790533129165,-13.758427818489592,0.09899288506987272,"[[0, 1], [2], [3, 4], [5], [6], [7]]"
LOS ANDES,162,6,"18-29,30-49,50-59,60-69,70-79,80+",-687.6062547667389,False,123.72469719410917,16.73056565148036,0.7047805400062788,-14.140498880700056,0.10207291422563074,"[[0, 1], [2, 3], [4], [5], [6], [7]]"
LOS ANDES,162,6,"18-39,40-49,50-59,60-69,70-79,80+",-693.9008731209615,False,113.51382369788264,16.350132642189866,0.6462918521742903,-14.578518894170148,0.12436802876380099,"[[0, 1, 2], [3], [4], [5], [6], [7]]"
LOS ANDES,162,5,"18-19,20-29,30-39,40-49,50+",-691.4330261090654,False,140.69962523301143,16.239690741191506,0.808064668631413,-9.588655584920597,0.07751431413281903,"[[0], [1], [2], [3], [4, 5, 6, 7]]"
LOS ANDES,162,5,"18-19,20-29,30-39,40-59,60+",-684.7715447625524,False,136.67810104088278,16.19260416976485,0.7809523729799861,-9.63086705459722,0.09526447950048575,"[[0], [1], [2], [3, 4], [5, 6, 7]]"
LOS ANDES,162,5,"18-19,20-29,30-39,40-69,70+",-685.107316338057,False,129.86415304091776,15.769118315701116,0.7411849022418716,-9.980877421030517,0.09203904912383284,"[[0], [1], [2], [3, 4, 5], [6, 7]]"
LOS ANDES,162,5,"18-19,20-29,30-39,40-79,80+",-692.0877490531275,False,124.78211155018867,14.6035290262639,0.7131222708455875,-11.075692535728606,0.09979535216244903,"[[0], [1], [2], [3, 4, 5, 6], [7]]"
LOS ANDES,162,5,"18-19,20-29,30-49,50-59,60+",-693.6370673908823,False,131.4287458542381,15.807547933760805,0.7512538596733483,-10.012938116807684,0.0875092629724292,"[[0], [1], [2, 3], [4], [5, 6, 7]]"
LOS ANDES,162,5,"18-19,20-29,30-49,50-69,70+",-698.91172426103,False,129.96329950198563,15.761048292388981,0.743890537507492,-9.975887136421555,0.09570089505704212,"[[0], [1], [2, 3], [4, 5], [6, 7]]"
LOS ANDES,162,5,"18-19,20-29,30-49,50-79,80+",-696.7430172082823,False,127.98262618837508,14.724711460706873,0.732301956717716,-10.959074740253218,0.12102313574935367,"[[0], [1], [2, 3], [4, 5, 6], [7]]"
LOS ANDES,162,5,"18-19,20-29,30-59,60-69,70+",-707.7243010598104,False,120.33747441183424,15.257227575554156,0.6788535666303385,-10.500978718099647,0.08490636208483507,"[[0], [1], [2, 3, 4], [5], [6, 7]]"
LOS ANDES,162,5,"18-19,20-29,30-59,60-79,80+",-697.0376418928427,False,119.57881628852631,14.445710072487074,0.6740005926975652,-11.266745786522804,0.11104984346079841,"[[0], [1], [2, 3, 4], [5, 6], [7]]"
LOS ANDES,162,5,"18-19,20-29,30-69,70-79,80+",-724.5719415024287,False,106.04760393931072,13.688178337187104,0.5874877610586865,-12.02447010141744,0.10451832283245215,"[[0], [1], [2, 3, 4, 5], [6], [7]]"
LOS ANDES,162,5,"18-19,20-39,40-49,50-59,60+",-699.9404110392788,False,120.92505152118098,15.424512831077047,0.6921457360699935,-10.449956837483178,0.08605221743043967,"[[0], [1, 2], [3], [4], [5, 6, 7]]"
LOS ANDES,162,5,"18-19,20-39,40-49,50-69,70+",-704.900429661815,False,119.45960516892855,15.378013189705223,0.6847824139041371,-10.41290585709705,0.09202971349480851,"[[0], [1, 2], [3], [4, 5], [6, 7]]"
LOS ANDES,162,5,"18-19,20-39,40-49,50-79,80+",-705.3402118230733,False,117.47893185531798,14.341676358023115,0.6731938331143611,-11.396093460928713,0.13432818756860623,"[[0], [1, 2], [3], [4, 5, 6], [7]]"
LOS ANDES,162,5,"18-19,20-39,40-59,60-69,70+",-707.7434619731284,False,113.75187067141425,15.06185971722975,0.6482708443157271,-10.716021120614256,0.09656873635412241,"[[0], [1, 2], [3, 4], [5], [6, 7]]"
LOS ANDES,162,5,"18-19,20-39,40-59,60-79,80+",-699.5567843248355,False,112.99321254810633,14.250342214162668,0.6434178703829538,-11.481788189037413,0.16674695318253194,"[[0], [1, 2], [3, 4], [5, 6], [7]]"
LOS ANDES,162,5,"18-19,20-39,40-69,70-79,80+",-700.1748877650825,False,106.04252984817897,13.695704313817826,0.6027742314863376,-11.965896710845161,0.10191955262279126,"[[0], [1, 2], [3, 4, 5], [6], [7]]"
LOS ANDES,162,5,"18-19,20-49,50-59,60-69,70+",-747.325286855179,False,101.57089724584979,14.463800101051715,0.5786160258527904,-11.304557138308176,0.08805832973264435,"[[0], [1, 2, 3], [4], [5], [6, 7]]"
LOS ANDES,162,5,"18-19,20-49,50-59,60-79,80+",-738.2653067633146,False,100.81223912254187,13.652282597984636,0.5737630519200171,-12.070324206731334,0.14647791439626068,"[[0], [1, 2, 3], [4], [5, 6], [7]]"
LOS ANDES,162,5,"18-19,20-49,50-69,70-79,80+",-743.1322251478414,False,99.21005807032707,13.474630910331705,0.5655235615956589,-12.167371381719654,0.1391444395376246,"[[0], [1, 2, 3], [4, 5], [6], [7]]"
LOS ANDES,162,5,"18-19,20-59,60-69,70-79,80+",-775.4549654732764,False,81.69496498246114,12.775156930361664,0.4480776563046442,-12.944895015401551,0.14919749263194543,"[[0], [1, 2, 3, 4], [5], [6], [7]]"
LOS ANDES,162,5,"18-29,30-39,40-49,50-59,60+",-681.0738402618517,True,135.41130609518117,16.29384387207853,0.774155273960346,-9.614926381634252,0.047284806118019156,"[[0, 1], [2], [3], [4], [5, 6, 7]]"
LOS ANDES,162,5,"18-29,30-39,40-49,50-69,70+",-686.7081201481778,False,133.94585974292872,16.247344230706705,0.7667919517944897,-9.577875401248122,0.05649970242737077,"[[0, 1], [2], [3], [4, 5], [6, 7]]"
LOS ANDES,162,5,"18-29,30-39,40-49,50-79,80+",-685.0355032803127,False,131.96518642931815,15.211007399024599,0.7552033710047137,-10.561063005079784,0.09681968273692917,"[[0, 1], [2], [3], [4, 5, 6], [7]]"
LOS ANDES,162,5,"18-29,30-39,40-59,60-69,70+",-690.4208818591869,True,128.23812524541444,15.931190758231233,0.7302803822060798,-9.88099066476533,0.04575580545379933,"[[0, 1], [2], [3, 4], [5], [6, 7]]"
LOS ANDES,162,5,"18-29,30-39,40-59,60-79,80+",-679.1070686017192,False,127.47946712210651,15.119673255164152,0.7254274082733065,-10.646757733188485,0.12296958474295244,"[[0, 1], [2], [3, 4], [5, 6], [7]]"
LOS ANDES,162,5,"18-29,30-39,40-69,70-79,80+",-680.2684092581767,False,120.52878442217916,14.565035354819308,0.6847837693766903,-11.130866254996233,0.1384620631401255,"[[0, 1], [2], [3, 4, 5], [6], [7]]"
LOS ANDES,162,5,"18-29,30-49,50-59,60-69,70+",-699.3537218914789,False,122.98877005876975,15.546134522227186,0.7005818688994421,-10.263061726975794,0.05931204010464663,"[[0, 1], [2, 3], [4], [5], [6, 7]]"
LOS ANDES,162,5,"18-29,30-49,50-59,60-79,80+",-689.0121623698724,False,122.23011193546182,14.734617019160105,0.6957288949666688,-11.02882879539895,0.14545675973306937,"[[0, 1], [2, 3], [4], [5, 6], [7]]"
LOS ANDES,162,5,"18-29,30-49,50-69,70-79,80+",-695.1380366837839,False,120.62793088324703,14.556965331507175,0.6874894046423107,-11.125875970387272,0.1155861140979978,"[[0, 1], [2, 3], [4, 5], [6], [7]]"
LOS ANDES,162,5,"18-29,30-59,60-69,70-79,80+",-702.8809274798696,False,111.00210579309562,14.053144614672348,0.6224524337651571,-11.650967552065365,0.10862888441900735,"[[0, 1], [2, 3, 4], [5], [6], [7]]"
LOS ANDES,162,5,"18-39,40-49,50-59,60-69,70+",-704.64513854088,False,112.77789656254323,15.16570151293669,0.6420931810674536,-10.701081740445884,0.0545438277661233,"[[0, 1, 2], [3], [4], [5], [6, 7]]"
LOS ANDES,162,5,"18-39,40-49,50-59,60-79,80+",-695.7683170466189,False,112.01923843923531,14.35418400986961,0.6372402071346803,-11.466848808869042,0.1388419081509315,"[[0, 1, 2], [3], [4], [5, 6], [7]]"
LOS ANDES,162,5,"18-39,40-49,50-69,70-79,80+",-701.3234233976764,False,110.4170573870205,14.176532322216678,0.6290007168103221,-11.563895983857364,0.12642769548273608,"[[0, 1, 2], [3], [4, 5], [6], [7]]"
LOS ANDES,162,5,"18-39,40-59,60-69,70-79,80+",-703.6802356378903,False,104.70932288950623,13.860378849741204,0.5924891472219123,-11.86701124737457,0.14156594507058848,"[[0, 1, 2], [3, 4], [5], [6], [7]]"
LOS ANDES,162,5,"18-49,50-59,60-69,70-79,80+",-740.0603910604696,False,92.29019795585991,13.255252200987503,0.520944562198046,-12.462429029666952,0.12939496731935007,"[[0, 1, 2, 3], [4], [5], [6], [7]]"
LOS ANDES,162,4,"18-19,20-29,30-39,40+",-706.2628948848214,False,122.70056380986279,13.218527369146642,0.7014650969200666,-7.395957132302798,0.09280943576276172,"[[0], [1], [2], [3, 4, 5, 6, 7]]"
LOS ANDES,162,4,"18-19,20-29,30-49,50+",-710.5132415876069,False,126.64576923799032,13.364880712738799,0.7245634503723972,-7.259219000335483,0.09277851555773146,"[[0], [1], [2, 3], [4, 5, 6, 7]]"
LOS ANDES,162,4,"18-19,20-29,30-59,60+",-710.1981554152153,False,118.70615445322453,13.130126896952792,0.6689257534322267,-7.523406788172991,0.06390301744526555,"[[0], [1], [2, 3, 4], [5, 6, 7]]"
LOS ANDES,162,4,"18-19,20-29,30-69,70+",-736.5259051304092,False,105.3116768039713,12.503747207933928,0.5832890899518498,-8.147032947693177,0.09661210048608831,"[[0], [1], [2, 3, 4, 5], [6, 7]]"
LOS ANDES,162,4,"18-19,20-29,30-79,80+",-812.9073124547431,False,95.43287814364994,11.217266106541953,0.5242302516217712,-9.387518953651968,0.0992649523232717,"[[0], [1], [2, 3, 4, 5, 6], [7]]"
LOS ANDES,162,4,"18-19,20-39,40-49,50+",-714.0478058621084,False,116.14207490493322,12.981845610055041,0.6654553267690424,-7.696237721010977,0.12294349876120425,"[[0], [1, 2], [3], [4, 5, 6, 7]]"
LOS ANDES,162,4,"18-19,20-39,40-59,60+",-709.5442416321021,False,112.12055071280454,12.934759038628385,0.6383430311176154,-7.7384491906876,0.10206881133806753,"[[0], [1, 2], [3, 4], [5, 6, 7]]"
LOS ANDES,162,4,"18-19,20-39,40-69,70+",-710.5949039142288,False,105.30660271283955,12.51127318456465,0.5985755603795009,-8.088459557120897,0.09232081031840322,"[[0], [1, 2], [3, 4, 5], [6, 7]]"
LOS ANDES,162,4,"18-19,20-39,40-79,80+",-718.8211992869401,False,100.22456122211044,11.345683895127435,0.5705129289832168,-9.183274671818987,0.10890399492647106,"[[0], [1, 2], [3, 4, 5, 6], [7]]"
LOS ANDES,162,4,"18-19,20-49,50-59,60+",-748.2625420802069,False,99.93957728724008,12.336699422450353,0.5686882126546785,-8.326985208381519,0.08827696286419554,"[[0], [1, 2, 3], [4], [5, 6, 7]]"
LOS ANDES,162,4,"18-19,20-49,50-69,70+",-753.0553380212077,False,98.47413093498766,12.29019978107853,0.5613248904888222,-8.28993422799539,0.09155937045278288,"[[0], [1, 2, 3], [4, 5], [6, 7]]"
LOS ANDES,162,4,"18-19,20-49,50-79,80+",-753.6313642622627,False,96.49345762137709,11.25386294939642,0.5497363096990462,-9.273121831827053,0.1282163970060598,"[[0], [1, 2, 3], [4, 5, 6], [7]]"
