,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,NULO BLANCO,SEBASTIAN SICHEL,YASNA PROVOSTE
18-29,0.020654683636276486,0.2969920707807188,0.2728289727126945,0.24234641097751208,0.05283894601750969,0.015784046649317884,0.07153546335133211,0.027019405874638393
30-39,0.016747951315820263,0.3161427728757125,0.18667718606102407,0.29117249293516867,0.07148650877583561,0.0013980182290806754,0.05925675194710263,0.057118317860255514
40-49,0.004247765210643943,0.3087820013765532,0.12038219738024468,0.31926256359460475,0.10497827430749324,0.007491187465314324,0.06312388947617235,0.0717321211889734
50+,0.023398617738275652,0.0820976220140109,0.17628459459313917,0.29579567218735997,0.08776462453647871,0.034152965054390985,0.08739404270300505,0.21311186117333947
