REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE NUBLE,BUCHUPUREO,ESCUELA BASICA BUCHUPUREO,1,1,19,28,65,6,32,0,4,17,4,2,2,24,20,7,10,1,2,3,0,22,7,28,21,13,10,172,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BUCHUPUREO,ESCUELA BASICA BUCHUPUREO,2,1,10,22,60,10,33,4,1,22,5,0,1,3,10,10,20,16,18,21,18,17,15,5,5,3,3,163,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BUCHUPUREO,ESCUELA BASICA BUCHUPUREO,3,0,10,18,61,7,39,1,2,24,3,1,1,3,4,13,11,16,24,18,19,14,17,7,5,3,6,162,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BUCHUPUREO,ESCUELA BASICA BUCHUPUREO,4,1,11,23,61,9,23,2,2,16,4,0,2,2,7,12,18,18,17,15,10,11,21,1,5,6,3,148,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,1M,1,8,18,45,5,19,1,0,15,1,2,0,5,13,2,2,0,2,3,14,1,29,2,24,2,11,112,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,22V,0,16,16,53,9,15,3,1,14,4,1,7,8,14,0,3,41,8,20,3,12,1,6,0,3,0,127,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,23V,1,17,13,39,4,25,1,3,16,4,0,2,17,10,0,2,50,1,19,3,8,1,4,0,2,0,119,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,24V,1,16,25,55,8,19,3,3,12,6,1,1,15,16,6,3,59,3,17,2,11,3,4,0,1,0,142,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,25V,1,13,21,47,5,16,1,1,18,2,2,2,6,12,1,1,49,2,17,3,12,1,10,2,3,0,123,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,26V,3,19,22,47,5,10,2,1,16,3,3,1,9,18,7,3,43,1,22,0,9,4,3,1,0,0,125,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,27V,3,17,25,33,2,13,1,0,16,1,1,1,13,5,20,0,23,1,11,1,14,2,15,1,2,0,110,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,28V,5,24,24,54,6,18,2,0,29,2,3,0,14,5,46,1,30,6,21,1,13,0,19,0,3,0,162,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,29V,2,17,29,44,8,15,1,1,22,2,4,4,7,8,23,5,20,1,21,2,14,5,20,0,4,0,139,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,2M,1,7,13,38,10,16,0,0,22,0,0,1,5,6,0,2,2,2,2,19,6,27,5,24,0,6,107,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,30V,3,23,30,44,5,21,0,2,14,2,4,4,17,11,30,8,15,6,14,4,15,2,10,1,1,0,142,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,3M,1,10,17,42,7,26,1,1,14,2,1,4,2,7,0,2,3,3,7,30,6,24,2,20,0,8,119,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,4M,1,11,18,40,2,19,1,1,16,2,0,1,7,10,3,1,6,0,12,19,5,22,1,16,1,6,109,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,COLEGIO SAN ESTEBAN DE BULNES - ANEXO BASICA,5M,0,10,11,46,11,20,1,0,12,1,0,1,4,2,0,0,12,1,6,23,2,30,2,19,0,9,111,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,LICEO MANUEL BULNES,10V,1,14,22,44,7,21,0,0,29,0,1,1,4,5,1,63,1,1,21,0,24,1,11,1,3,0,138,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE NUBLE,BULNES,LICEO MANUEL BULNES,11V,0,14,15,39,5,22,3,0,25,3,2,1,6,4,2,44,1,2,23,0,23,0,11,1,4,0,123,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
