,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,NULO BLANCO,SEBASTIAN SICHEL,YASNA PROVOSTE
18-29,0.01585836491228472,0.16657983201688117,0.19832116187292959,0.4595941559037938,0.033028890750513816,0.008333499302951734,0.04978967197752513,0.06849442326311994
30-39,0.006571117232048405,0.1628456943026084,0.1669277812304899,0.507415023317954,0.03636657084398687,0.004702062124076339,0.07989649383041561,0.03527525711842022
40-49,0.0008041544348662472,0.06455830471966405,0.09760525014755252,0.5117293631339705,0.0590596309851017,0.026375696195092026,0.10856009042023598,0.13130750996351673
50+,0.007073110615839893,0.04239353571359869,0.10159538378420396,0.5705508803687445,0.047024833813537156,0.023416828876001168,0.07315967879580369,0.13478574803227092
