,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,NULO BLANCO,SEBASTIAN SICHEL,YASNA PROVOSTE
18-29,0.026325848855830444,0.3494276979903451,0.31038203830316374,0.14701512992786694,0.04415501248051953,0.014220576956809597,0.05133157766210037,0.05714211782336416
30-39,0.017056408165756015,0.2947552368965678,0.32705016477862764,0.15998315463087726,0.03845981682143642,0.003946428511481897,0.08814487017371649,0.07060392002153666
40-49,0.004836033434929021,0.2351274104717437,0.23649386274586148,0.16295799713323614,0.08380193300637619,0.014129622482197365,0.10173405869112627,0.16091908203453
50+,0.008783579945056618,0.16207516193501967,0.2310246148390574,0.16755577765269547,0.06846617098852928,0.014486366103631056,0.09570384914441504,0.25190447939159555
