REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,30-49,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,GIMNASIO REQUINOA,32,1,30,25,63,10,24,0,5,17,5,13,56,13,33,35,15,9,1,175,60,-1,-1,2,34,35,50,13,2,21,18,69,46,60,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-1.0,-4.0,-10.0,13.0,-3.0,3.0,3.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,GIMNASIO REQUINOA,33,0,23,33,78,8,23,0,0,19,0,11,48,22,36,37,17,9,4,184,60,-1,-1,2,35,36,53,14,2,22,20,59,58,67,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-2.0,-12.0,-3.0,25.0,-6.0,-2.0,1.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,GIMNASIO REQUINOA,34,3,27,49,55,6,24,1,1,6,2,17,97,12,20,16,7,3,0,172,60,-1,-1,1,36,40,49,11,2,22,11,114,32,26,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,2.0,-9.0,9.0,6.0,-5.0,0.0,2.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,GIMNASIO REQUINOA,35,1,27,53,69,4,16,0,0,23,0,56,7,59,47,18,4,2,0,193,60,-1,-1,2,40,39,60,12,2,22,16,63,106,24,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-1.0,-13.0,14.0,9.0,-8.0,-2.0,-6.0,7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,GIMNASIO REQUINOA,36,2,25,34,66,9,28,0,1,18,1,7,31,50,49,26,13,6,1,183,60,-1,-1,2,36,34,56,13,2,21,19,38,99,46,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,0.0,-11.0,0.0,10.0,-4.0,-1.0,7.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,LICEO DE REQUINOA ANEXO,13M,3,29,25,41,17,19,0,3,24,3,3,8,33,3,51,37,22,4,161,60,-1,-1,1,26,26,45,15,3,19,26,11,36,114,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,2.0,3.0,-1.0,-4.0,2.0,0.0,0.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,LICEO DE REQUINOA ANEXO,14M,0,32,36,46,18,19,1,4,17,5,4,14,44,7,64,23,15,2,173,60,-1,-1,2,29,29,50,15,3,20,25,18,51,104,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-2.0,3.0,7.0,-4.0,3.0,2.0,-1.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,LICEO DE REQUINOA ANEXO,15M,0,36,22,52,23,21,1,1,25,2,3,9,31,76,44,12,5,1,181,60,-1,-1,2,34,31,56,13,2,20,23,12,107,62,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,-2.0,2.0,-9.0,-4.0,10.0,0.0,1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,LICEO DE REQUINOA ANEXO,16M,1,46,29,42,5,17,1,2,22,3,0,19,37,56,29,12,8,3,165,60,-1,-1,1,32,29,51,12,2,18,20,19,93,52,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,0.0,14.0,0.0,-9.0,-7.0,1.0,-1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,LICEO DE REQUINOA ANEXO,17M,2,37,27,48,17,25,1,1,24,2,3,12,26,86,35,10,6,4,182,60,-1,-1,1,35,32,57,13,2,20,22,15,112,55,0.009100003284065548,0.2245799451856623,0.2701340313515335,0.2720937513993509,0.05373193912253758,0.011399031944833937,0.13552535986237366,0.023435937849642506,0.007308433305381481,0.21597683024324815,0.17356369274416444,0.3396989581822215,0.05840721335826439,0.007639104126825097,0.09945010376965516,0.09795566427023979,0.010692312831103092,0.13585495001394932,0.14783802291657056,0.26525471154232905,0.1063264007652679,0.01960915543672418,0.12293835826226324,0.1914860882317926,1.0,2.0,-5.0,-9.0,4.0,0.0,5.0,2.0
