REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,30-49,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,12V,1,20,22,53,10,14,1,0,18,1,4,42,8,52,12,10,7,5,139,38,-1,-1,2,30,22,46,9,2,13,15,46,60,34,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,-1.0,-10.0,0.0,7.0,1.0,-1.0,1.0,3.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,13V,1,25,22,57,12,21,0,2,24,2,1,17,16,60,27,26,14,3,164,38,-1,-1,1,27,20,62,10,2,19,23,18,76,70,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,0.0,-2.0,2.0,-5.0,2.0,0.0,2.0,1.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,1V,3,11,14,50,8,15,1,2,23,3,3,19,6,7,27,35,24,6,127,38,-1,-1,1,15,16,47,8,2,17,21,22,13,92,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,2.0,-4.0,-2.0,3.0,0.0,1.0,-2.0,2.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,2V,2,11,15,48,9,12,1,1,30,2,3,20,2,18,19,31,26,10,129,38,-1,-1,1,17,17,47,8,2,17,20,23,20,86,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,1.0,-6.0,-2.0,1.0,1.0,0.0,-5.0,10.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,3V,1,18,17,49,8,16,1,1,23,2,9,19,4,29,19,27,21,7,134,38,-1,-1,2,21,18,48,8,2,16,19,28,33,74,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,-1.0,-3.0,-1.0,1.0,0.0,0.0,0.0,4.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,4V,1,15,14,49,7,22,0,1,30,1,1,8,19,26,28,33,17,7,139,38,-1,-1,1,18,16,54,8,2,18,22,9,45,85,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,0.0,-3.0,-2.0,-5.0,-1.0,-1.0,4.0,8.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,5V,2,18,20,48,5,13,1,0,27,1,1,10,32,6,28,35,20,2,134,38,-1,-1,1,17,16,51,8,2,18,21,11,38,85,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,1.0,1.0,4.0,-3.0,-3.0,-1.0,-5.0,6.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,6V,5,15,18,54,12,16,1,1,13,2,4,14,37,4,33,25,15,3,135,38,-1,-1,1,20,17,50,8,2,17,20,18,41,76,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,4.0,-5.0,1.0,4.0,4.0,0.0,-1.0,-7.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,7V,1,16,17,53,5,20,1,1,20,2,0,13,40,7,25,27,19,3,134,38,-1,-1,1,19,16,51,8,2,17,20,13,47,74,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,0.0,-3.0,1.0,2.0,-3.0,0.0,3.0,0.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,8V,3,24,22,59,5,16,0,1,21,1,6,16,48,6,42,21,9,3,151,38,-1,-1,1,24,19,56,9,2,18,22,22,54,75,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,2.0,0.0,3.0,3.0,-4.0,-1.0,-2.0,-1.0
DE NUBLE,QUILLON,LICEO LUIS CRUZ MARTINEZ,9V,1,22,24,52,6,18,0,1,16,1,3,13,47,4,28,27,17,0,140,38,-1,-1,1,21,17,53,8,2,17,21,16,51,72,0.016377316667062696,0.3230524760028559,0.2558572827908906,0.20324843082131377,0.07856369658977597,0.02875284217379865,0.048035247028160206,0.04611270792614228,0.00729060920044903,0.22482908603760485,0.1086877347581344,0.39836275913897706,0.05758201593397061,0.003105638376996666,0.09391508766710804,0.10622706888675938,0.010001265544488073,0.05774633588916921,0.10077468447265306,0.40005979422526144,0.058554219746113266,0.01623569526232874,0.15930990978612977,0.19731809507385645,0.0,1.0,7.0,-1.0,-2.0,-1.0,1.0,-5.0
