REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,28V,0,16,40,34,4,5,1,0,6,1,4,27,21,30,13,8,2,1,106,68,0.12,-0.9208187539523752,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,29V,1,17,45,28,11,10,2,0,20,2,4,19,21,63,16,8,2,1,134,68,0.96,-0.017728766960431602,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,30V,2,19,38,24,7,5,1,0,15,1,5,34,24,22,13,11,0,1,111,68,0.84,-0.07572071393811836,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,10M,0,10,32,22,13,3,0,1,27,1,2,4,7,8,30,35,15,7,108,68,0.33,-0.4814860601221125,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,11M,2,9,27,28,10,13,0,0,20,0,2,5,11,15,32,26,16,2,109,68,0.5,-0.3010299956639812,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,1M,1,6,25,27,9,9,1,5,17,6,1,8,7,4,24,22,25,9,100,68,0.38,-0.42021640338318983,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,2M,1,7,32,26,11,13,0,0,15,0,3,15,12,4,12,24,23,12,105,68,0.28,-0.5528419686577808,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,3M,1,11,30,25,9,11,0,3,15,3,1,12,8,2,20,31,19,11,105,68,0.71,-0.14874165128092473,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,4M,1,13,23,28,14,9,1,1,13,2,0,10,12,0,20,30,23,8,103,68,0.25,-0.6020599913279624,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,5M,1,5,34,30,14,7,1,0,21,1,2,19,3,4,19,28,28,10,113,68,0.45,-0.3467874862246563,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,6M,1,9,28,24,9,8,0,0,18,0,1,2,7,6,25,31,20,5,97,68,0.83,-0.08092190762392612,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,7M,1,7,29,28,8,10,1,1,17,2,5,8,8,6,27,29,14,5,102,68,0.95,-0.022276394711152253,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,8M,2,13,31,16,10,7,1,2,24,3,1,8,5,3,27,31,21,10,106,68,0.14,-0.8538719643217619,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,9M,1,13,25,29,11,9,1,1,13,2,6,7,7,0,33,29,14,7,103,68,0.51,-0.2924298239020636,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,31V,1,14,36,25,7,9,3,3,12,6,5,23,23,25,21,11,3,0,110,68,0.53,-0.27572413039921095,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,32V,5,15,31,32,8,6,0,3,12,3,5,39,22,28,12,5,0,1,112,68,0.26,-0.585026652029182,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,33V,1,18,46,32,8,4,2,2,11,4,7,31,27,27,15,15,0,1,124,68,0.71,-0.14874165128092473,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,34V,2,9,29,30,7,10,1,0,5,1,6,23,30,17,9,7,1,0,93,68,0.11,-0.958607314841775,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,35V,1,17,55,47,11,5,2,1,20,3,4,26,40,49,26,9,4,1,159,68,0.49,-0.3098039199714863,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,36V,2,19,47,41,15,17,2,2,15,4,3,18,42,48,19,23,5,1,160,68,0.45,-0.3467874862246563,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,37V,4,18,38,64,7,10,1,2,16,3,5,14,66,28,23,10,10,3,160,68,0.0016,-2.795880017344075,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,38V,5,23,52,42,12,13,2,3,13,5,4,18,42,43,27,21,9,1,165,68,0.11,-0.958607314841775,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,39V,5,27,65,34,9,8,0,3,13,3,10,39,41,25,29,13,6,0,164,68,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,40,1,42,24,28,6,4,0,0,9,0,3,9,95,2,4,0,1,0,114,68,0.0004,-3.3979400086720375,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,41,1,31,43,14,5,5,0,2,7,2,5,68,27,5,2,1,0,0,108,68,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,42,2,18,44,18,1,4,0,1,5,1,4,61,17,4,3,3,1,0,93,68,0.34,-0.46852108295774486,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,12M,1,9,29,26,14,8,2,2,22,4,3,4,10,13,35,31,10,7,113,68,0.97,-0.01322826573375516,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,13M,0,13,30,25,14,9,1,0,20,1,1,10,3,17,36,31,7,7,112,68,0.86,-0.06550154875643228,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,14M,1,7,28,25,15,9,2,1,22,3,3,6,7,10,41,27,13,3,110,68,0.93,-0.03151705144606486,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,15M,0,12,26,27,12,4,2,2,23,4,0,5,7,13,36,31,12,5,108,68,0.56,-0.25181197299379954,-1,-1,-1,-1,-1,-1,-1,-1
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,16M,1,12,32,25,12,9,1,1,21,2,2,7,6,23,32,28,12,4,114,68,0.99,-0.004364805402450088,-1,-1,-1,-1,-1,-1,-1,-1
