REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,72M,0,14,23,39,13,18,0,3,17,3,2,4,1,5,3,3,3,55,6,20,3,13,1,7,0,1,127,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO CAMILO HENRIQUEZ,73M,1,15,29,52,8,22,1,0,18,1,3,1,3,7,2,2,3,70,2,28,1,13,1,7,0,3,146,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,23M,3,29,37,38,13,18,1,1,16,2,3,1,51,6,4,3,1,2,0,29,2,33,0,15,0,6,156,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,24M,4,27,41,44,7,15,1,1,18,2,3,3,48,8,2,3,5,3,6,23,2,32,0,11,0,9,158,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,25M,2,23,41,46,8,25,0,3,16,3,2,1,51,7,0,0,1,2,3,37,2,34,1,19,0,4,164,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,26M,4,22,38,43,13,13,0,1,22,1,0,2,27,8,7,3,3,1,3,30,1,43,1,20,0,7,156,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,27M,1,18,51,34,13,18,1,1,19,2,2,5,37,7,0,3,2,1,2,28,0,38,1,25,0,5,156,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,28M,3,20,46,43,5,19,0,1,26,1,3,5,19,5,5,4,3,2,13,45,1,32,0,22,0,4,163,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,29M,0,18,34,52,7,25,0,3,19,3,2,1,4,7,6,14,19,19,2,36,0,31,0,13,0,4,158,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO MARINA DE CHILE,30M,3,20,20,39,13,27,1,4,25,5,3,3,6,9,14,8,3,5,0,34,2,40,0,19,0,6,152,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
