,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,NULO BLANCO,SEBASTIAN SICHEL,YASNA PROVOSTE
H,0.01387808859526308,0.14721004252488876,0.11376385516712459,0.42758541682810325,0.021440835063708225,0.03161981961406994,0.15310381662985267,0.09139812557698951
M,0.01455387237951671,0.02100610055360609,0.17467635049189817,0.35296624406857524,0.1180889405026782,0.018058311414835066,0.1649175267962623,0.13573265379262825
