REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,HUALQUI,ESCUELA MANUEL AMAT Y JUNIET,3V,1,23,15,39,16,13,10,5,20,15,3,13,2,28,38,46,8,4,142,54,-1,-1,2,21,21,41,15,3,17,22,16,96,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,2.0,-6.0,-2.0,1.0,12.0,-4.0,-2.0
DEL BIOBIO,HUALQUI,ESCUELA MANUEL AMAT Y JUNIET,4V,3,16,17,35,20,20,2,3,19,5,2,9,3,42,31,30,11,7,135,54,-1,-1,2,20,20,40,14,3,15,21,11,79,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,1.0,-4.0,-3.0,-5.0,6.0,2.0,5.0,-2.0
DEL BIOBIO,HUALQUI,ESCUELA MANUEL AMAT Y JUNIET,5V,1,23,24,47,9,16,0,3,26,3,3,13,3,50,28,32,13,8,149,54,-1,-1,2,24,22,43,16,3,16,23,16,81,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,-1.0,2.0,4.0,-7.0,0.0,0.0,3.0
DEL BIOBIO,HUALQUI,ESCUELA MANUEL AMAT Y JUNIET,6V,2,28,17,47,16,12,1,1,18,2,1,12,2,49,33,28,15,2,142,54,-1,-1,2,22,21,42,15,3,15,22,13,78,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,0.0,6.0,-4.0,5.0,1.0,-1.0,-3.0,-4.0
DEL BIOBIO,HUALQUI,ESCUELA MANUEL AMAT Y JUNIET,7V,2,26,18,42,15,16,4,1,20,5,2,14,28,16,40,29,13,1,144,54,-1,-1,2,29,23,39,15,3,15,18,16,83,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,0.0,-3.0,-5.0,3.0,0.0,2.0,1.0,2.0
DEL BIOBIO,HUALQUI,ESCUELA MANUEL AMAT Y JUNIET,8V,1,32,20,45,11,12,2,1,18,3,4,8,39,6,43,25,13,4,142,54,-1,-1,1,30,23,38,15,3,15,17,12,85,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,0.0,2.0,-3.0,7.0,-4.0,0.0,-3.0,1.0
DEL BIOBIO,HUALQUI,ESCUELA MANUEL AMAT Y JUNIET,9V,0,29,17,32,14,24,2,0,16,2,3,10,39,5,30,30,13,4,134,54,-1,-1,1,30,22,35,14,3,14,15,13,77,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,-1.0,-5.0,-3.0,0.0,-1.0,10.0,1.0
DEL BIOBIO,HUALQUI,ESCUELA NUEVA REPUBLICA,10M,1,16,23,40,16,19,0,0,12,0,1,11,2,13,44,36,16,4,127,54,-1,-1,1,18,19,36,14,3,16,20,12,100,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,0.0,-2.0,4.0,4.0,2.0,-3.0,3.0,-8.0
DEL BIOBIO,HUALQUI,ESCUELA NUEVA REPUBLICA,11M,2,22,23,36,11,8,1,3,12,4,1,9,12,4,45,37,8,2,118,54,-1,-1,1,19,18,33,12,3,15,17,10,92,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,1.0,3.0,5.0,3.0,-1.0,1.0,-7.0,-5.0
DEL BIOBIO,HUALQUI,ESCUELA NUEVA REPUBLICA,12M,0,31,18,43,14,17,0,3,21,3,1,13,24,22,69,15,2,1,147,54,-1,-1,1,28,23,41,15,3,16,20,14,87,0.012933539192897359,0.3551688385174286,0.278867180743422,0.17771135468311872,0.06169383361551424,0.010480394950622205,0.06572940858366647,0.03741544971333039,0.0029945563539706373,0.40418204904873734,0.18669032106629935,0.23278751996458233,0.09268239266359607,0.011231959896875178,0.0444266725126737,0.025004528493265468,0.013565901466065816,0.15942184478504906,0.1165524297347941,0.33320494456116745,0.10679577437315205,0.018785517418696527,0.0674749158741226,0.18419867178695246,0.011624189576308242,0.11067090350007591,0.13996995223050607,0.291837797509849,0.11192493192282207,0.024237745383612747,0.14246799064694923,0.16726648922987664,-1.0,3.0,-5.0,2.0,-1.0,0.0,1.0,1.0
