REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,BUCALEMU,ESCUELA BASICA UNION DE MUJERES AMERICANAS,1,1,16,70,35,11,18,2,0,45,2,0,0,8,11,4,15,14,21,23,37,13,18,12,13,2,7,198,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,BUCALEMU,ESCUELA BASICA UNION DE MUJERES AMERICANAS,2-3,2,25,73,50,25,30,2,2,31,4,8,12,9,23,18,26,17,25,17,20,19,22,9,7,5,3,240,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,10V,1,6,18,32,10,11,3,2,31,5,1,2,4,6,1,40,0,0,21,1,24,1,10,1,2,0,114,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,11V,2,14,21,30,3,16,2,1,22,3,0,0,6,5,1,39,0,0,19,0,16,2,17,0,6,0,111,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,12V,3,22,21,33,3,20,0,2,20,2,2,2,3,16,1,34,4,2,34,0,12,0,13,0,1,0,124,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,13V,1,16,27,33,12,23,0,0,23,0,1,1,4,44,0,3,45,1,26,0,2,0,6,1,1,0,135,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,14V,0,13,28,37,9,21,0,0,15,0,2,0,7,35,1,3,43,1,17,0,8,1,3,1,1,0,123,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,15V,0,17,34,42,8,27,0,0,20,0,1,2,6,44,1,2,59,3,12,1,12,0,2,1,2,0,148,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,16V,1,15,21,59,3,27,0,1,27,1,1,3,7,14,15,1,42,1,30,2,17,5,12,2,3,0,154,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,17V,1,13,34,59,15,25,1,1,20,2,1,1,10,5,44,8,32,5,19,3,17,2,14,3,4,0,169,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,18V,0,29,36,58,9,21,0,2,28,2,1,1,13,17,72,2,28,1,13,1,15,0,17,0,2,0,183,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,19V,0,21,31,42,6,20,0,0,17,0,1,4,26,34,19,6,8,1,9,2,7,6,12,2,0,0,137,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,1V,1,12,20,34,3,14,0,0,10,0,1,2,11,12,3,2,2,5,14,12,3,5,11,1,9,1,94,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,20,1,38,14,32,1,12,0,0,6,0,2,1,40,3,51,0,2,3,1,0,0,0,1,0,0,0,104,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,21,1,21,21,27,6,13,0,1,8,1,0,1,66,14,2,3,2,3,3,0,1,0,3,0,0,0,98,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,22,2,22,34,41,12,21,0,1,8,1,13,28,28,23,5,5,7,8,8,7,2,4,1,1,1,0,141,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,23,0,14,19,19,6,12,0,1,4,1,0,1,4,2,10,14,12,10,7,5,5,1,0,3,1,0,75,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,2V,0,6,19,35,10,22,1,1,26,2,0,1,5,2,0,0,2,17,22,11,29,1,18,0,11,1,120,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,3V,0,11,22,32,4,18,1,1,24,2,4,0,1,9,2,1,1,37,11,0,17,2,20,0,8,0,113,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,4V,1,11,26,31,10,26,1,0,21,1,1,0,3,10,0,2,3,29,31,0,30,1,13,1,4,0,127,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,5V,2,11,20,40,9,13,1,1,21,2,1,3,5,5,0,26,0,13,23,1,27,2,5,0,7,0,118,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,COLEGIO BASICO DE CHEPICA,6V,1,10,21,36,7,15,0,0,19,0,2,3,3,5,2,25,0,4,20,2,25,0,18,0,0,0,109,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
